word,count
,17455
the,34565
project,100
gutenberg,30
ebook,11
of,14989
war,298
and,22151
peace,114
by,2400
leo,4
tolstoy,3
this,2103
is,3324
for,3521
use,82
anyone,183
anywhere,26
at,4535
no,1402
cost,26
with,5694
almost,154
restrictions,3
whatsoever,2
you,3642
may,289
copy,16
it,5179
give,280
away,613
or,1590
reuse,2
under,371
terms,37
license,15
included,11
online,4
wwwgutenbergorg,3
title,10
author,9
translators,1
louise,2
aylmer,1
maude,1
posting,2
date,6
january,9
last,346
updated,2
language,9
english,30
character,56
set,161
encoding,1
utf,1
start,33
an,1622
anonymous,4
volunteer,4
david,5
widger,2
tolstoytolstoi,1
contents,6
book,86
one,2047
chapter,732
i,4106
ii,34
iii,38
iv,34
v,39
vi,34
vii,34
viii,34
ix,34
x,39
xi,35
xii,35
xiii,32
xiv,35
xv,32
xvi,36
xvii,25
xviii,26
xix,24
xx,18
xxi,16
xxii,14
xxiii,10
xxiv,8
xxv,8
xxvi,8
xxvii,6
xxviii,6
two,587
three,255
four,103
five,85
six,56
seven,60
eight,38
nine,26
ten,98
xxix,4
xxx,4
xxxi,4
xxxii,4
xxxiii,4
xxxiv,4
xxxv,2
xxxvi,2
xxxvii,2
xxxviii,2
xxxix,2
eleven,7
twelve,14
thirteen,14
fourteen,10
fifteen,31
first,618
epilogue,4
second,118
well,735
prince,1886
so,1853
genoa,3
lucca,2
are,1278
now,1303
just,563
family,135
estates,38
buonapartes,2
but,4012
warn,6
if,1301
dont,528
tell,375
me,1265
that,7807
means,73
still,665
try,70
to,16709
defend,18
infamies,1
horrors,8
perpetrated,3
antichristi,2
really,203
believe,124
he,9812
will,1063
have,1978
nothing,461
more,1054
do,1048
longer,176
my,1220
friend,163
faithful,12
slave,10
as,3986
call,91
yourself,117
how,995
see,730
frightened,117
yousit,1
down,690
all,2772
news,167
was,7327
in,8927
july,13
speaker,14
wellknown,19
anna,293
pvlovna,112
schrer,6
maid,58
honor,155
favorite,37
empress,26
mrya,114
fdorovna,13
these,590
words,391
she,3403
greeted,16
vasli,214
kurgin,55
a,10495
man,1064
high,116
rank,28
importance,47
who,2115
arrive,21
her,4697
reception,48
had,5354
cough,6
some,843
days,214
said,2834
suffering,72
from,2700
la,41
grippe,2
being,460
then,934
new,285
word,233
st,41
petersburg,241
used,135
only,1292
elite,1
invitations,4
without,669
exception,17
written,65
french,872
delivered,11
scarletliveried,1
footman,47
morning,207
ran,260
follows,19
better,162
count,650
prospect,6
spending,11
evening,213
poor,75
invalid,13
not,4658
too,389
terrible,155
shall,248
be,2450
very,801
charmed,3
tonight,13
between,240
annette,9
heavens,18
what,2315
virulent,2
attack,103
replied,300
least,84
disconcerted,12
entered,212
wearing,68
embroidered,5
court,64
uniform,95
knee,26
breeches,19
shoes,22
stars,18
on,3996
his,7965
breast,43
serene,38
expression,299
flat,8
face,891
spoke,167
refined,11
which,2017
our,624
grandfathers,1
thought,764
gentle,42
patronizing,4
intonation,6
natural,42
grown,65
old,803
society,130
went,859
up,1552
kissed,119
hand,536
presenting,9
bald,79
scented,5
shining,24
head,565
complacently,4
seated,29
himself,1011
sofa,73
dear,383
your,816
friends,82
mind,225
rest,107
altering,3
tone,147
beneath,21
politeness,16
affected,19
sympathy,36
indifference,19
even,503
irony,21
could,1111
discerned,2
can,473
while,397
morally,7
calm,86
times,151
like,733
has,704
any,501
feeling,319
staying,29
whole,531
hope,90
fete,10
ambassadors,8
today,84
wednesday,7
must,482
put,270
appearance,39
there,1458
daughter,119
coming,160
take,349
todays,3
been,1475
canceled,1
confess,16
festivities,2
fireworks,4
becoming,33
wearisome,3
they,2166
known,127
wished,189
entertainment,5
would,1362
off,426
woundup,1
clock,13
force,133
habit,39
things,232
did,1478
wish,185
believed,40
tease,1
decided,100
about,1016
novosltsevs,1
dispatch,18
know,841
everything,406
say,637
cold,137
listless,8
buonaparte,29
burnt,4
boats,5
we,956
ready,164
burn,21
ours,28
always,464
languidly,4
actor,3
repeating,43
stale,1
part,236
contrary,125
despite,81
forty,30
years,124
overflowed,4
animation,29
impulsiveness,1
enthusiast,1
become,122
social,25
vocation,7
sometimes,131
when,1486
feel,133
became,170
enthusiastic,10
order,295
disappoint,6
expectations,9
those,651
knew,409
subdued,5
smile,414
though,444
suit,6
faded,4
features,22
played,44
round,421
lips,113
expressed,116
spoiled,14
child,100
continual,12
consciousness,67
charming,52
defect,7
neither,96
nor,175
considered,103
necessary,137
correct,19
midst,35
conversation,163
political,33
matters,73
burst,49
out,1225
oh,313
speak,213
austria,28
perhaps,115
understand,347
never,407
does,208
betraying,9
us,420
russia,162
alone,237
save,38
europe,47
gracious,25
sovereign,57
recognizes,6
true,120
thing,224
faith,25
good,381
wonderful,22
perform,16
noblest,1
role,21
earth,57
virtuous,12
noble,24
god,262
forsake,1
him,4571
fulfill,17
crush,13
hydra,1
revolution,23
than,534
ever,128
person,75
murderer,4
villain,6
avenge,3
blood,63
whom,400
ask,199
rely,2
england,13
commercial,2
spirit,48
cannot,167
emperor,522
alexanders,21
loftiness,2
soul,149
refused,28
evacuate,1
malta,2
wanted,180
find,161
seeks,5
secret,40
motive,8
actions,70
answer,142
novosltsev,4
get,356
none,48
understood,198
selfabnegation,2
wants,29
desires,16
mankind,21
promised,53
little,554
prussia,29
declared,25
invincible,2
powerless,5
before,823
hardenburg,1
says,120
haugwitz,1
either,127
famous,21
prussian,13
neutrality,2
trap,25
lofty,25
destiny,6
adored,15
monarch,18
suddenly,428
paused,73
smiling,145
own,498
impetuosity,3
think,356
sent,224
instead,81
wintzingerode,7
captured,43
king,50
prussias,1
consent,22
assault,1
eloquent,5
cup,15
tea,75
moment,413
propos,2
added,208
again,703
am,545
expecting,63
interesting,33
men,760
le,48
vicomte,40
de,141
mortemart,9
connected,23
montmorencys,1
through,378
rohans,1
best,124
families,10
genuine,4
migrs,1
ones,116
also,268
abb,18
morio,4
profound,25
thinker,1
received,204
heard,497
delighted,32
meet,107
them,1512
studied,9
carelessness,3
occurred,70
question,216
chief,237
visit,61
dowager,6
baron,10
funke,3
appointed,51
secretary,9
vienna,47
accounts,22
creature,13
obtain,25
post,62
son,229
others,307
were,2433
trying,164
secure,16
closed,91
eyes,820
indicate,9
else,152
right,449
criticize,3
desired,28
pleased,87
recommended,7
sister,72
dry,30
mournful,10
named,11
pvlovnas,39
assumed,48
sincere,18
devotion,24
respect,44
mingled,25
sadness,14
every,334
time,921
mentioned,50
illustrious,2
patroness,2
majesty,66
deigned,4
show,110
beaucoup,2
destime,1
clouded,5
over,599
silent,164
looked,647
indifferent,21
womanly,3
courtierlike,2
quickness,4
tact,12
habitual,18
both,258
rebuke,3
daring,7
done,301
same,663
console,6
since,188
came,681
everyone,218
enraptured,9
amazingly,1
beautiful,81
bowed,58
signify,2
gratitude,14
often,140
continued,214
after,834
short,114
pause,34
drawing,213
nearer,73
amiably,8
topics,5
ended,24
come,679
intimate,41
conversationi,1
unfairly,1
joys,13
life,589
distributed,13
why,536
fate,64
given,179
such,590
splendid,69
children,103
anatole,208
youngest,11
admitting,15
rejoinder,8
raising,44
eyebrows,32
appreciate,6
less,142
deserve,4
smiled,150
ecstatic,12
cant,195
help,144
lavater,1
lack,21
bump,3
paternity,1
joke,30
mean,63
serious,68
talk,251
dissatisfied,28
younger,32
ourselves,43
its,949
melancholy,28
majestys,6
pitied,13
answered,153
significantly,14
awaiting,46
reply,146
frowned,42
father,329
their,1437
education,20
turned,384
fools,6
hippolyte,47
quiet,80
fool,46
active,24
difference,17
way,493
animated,63
usual,120
wrinkles,15
mouth,76
clearly,91
revealed,20
something,597
unexpectedly,54
coarse,18
unpleasant,44
born,9
reproach,29
looking,390
pensively,5
bane,1
cross,72
bear,55
explain,62
myself,146
helped,35
resignation,5
cruel,29
gesture,50
meditated,1
marrying,29
prodigal,1
asked,668
maids,29
mania,2
matchmaking,4
weakness,28
yet,339
unhappy,23
relation,50
yours,25
princess,915
mary,612
bolknskaya,9
memory,40
perception,11
befitting,1
world,156
indicated,29
movement,187
considering,43
information,29
evidently,347
unable,97
check,9
sad,80
current,19
thoughts,115
costing,4
thousand,168
rubles,69
year,84
goes,23
presently,2
thats,268
fathers,101
rich,47
stingy,3
lives,29
country,100
bolknski,158
retire,21
army,641
late,105
nicknamed,4
clever,46
eccentric,2
bore,27
girl,129
brother,129
married,73
lise,27
meinen,1
lately,13
aidedecamp,47
kutzovs,80
here,475
listen,89
taking,201
reason,126
downwards,12
arrange,29
affair,74
most,325
devoted,21
slaveslafe,1
f,13
village,145
elder,35
mine,25
writes,16
reports,47
want,249
familiarity,7
easy,49
grace,7
peculiar,31
raised,105
honors,14
swung,7
fro,10
lay,195
back,515
armchair,32
another,601
direction,73
attendez,1
reflecting,5
ill,244
young,442
bolknskis,19
wife,243
arranged,49
familys,6
behalf,12
apprenticeship,2
room,766
gradually,21
filling,12
highest,54
assembled,25
people,524
differing,2
widely,7
age,42
alike,19
circle,51
belonged,30
vaslis,29
hlne,137
wore,45
ball,113
dress,102
badge,4
youthful,14
femme,4
plus,2
sduisante,1
ptersbourg,1
during,224
previous,39
winter,38
pregnant,6
go,752
large,169
gatherings,4
small,181
receptions,8
introduced,17
many,233
fascinating,7
woman,171
each,183
arrival,54
seen,288
aunt,44
gravely,4
conducted,11
lady,82
bows,7
ribbon,17
cap,82
sailing,4
soon,252
guests,68
began,714
slowly,38
turning,181
visitor,41
name,117
left,605
performed,24
ceremony,8
greeting,18
cared,8
observed,18
greetings,10
solemn,39
interest,66
approval,23
health,60
thank,75
prevented,15
showing,43
impatience,10
sense,71
relief,23
having,487
vexatious,1
duty,90
return,98
brought,210
work,166
goldembroidered,3
velvet,12
bag,3
pretty,69
upper,18
lip,25
delicate,31
dark,91
perceptible,13
teeth,45
lifted,63
sweetly,5
especially,128
occasionally,36
drew,112
lower,43
case,95
thoroughly,10
attractive,19
defectthe,1
shortness,2
halfopen,4
mouthseemed,1
special,73
form,56
beauty,59
brightened,15
sight,88
mother,199
full,160
carrying,43
burden,15
lightly,33
dull,47
dispirited,3
company,107
talking,189
felt,628
talked,95
saw,462
bright,70
constant,18
gleam,9
white,192
specially,17
amiable,14
mood,42
day,543
table,222
quick,41
swaying,30
steps,137
workbag,3
arm,175
gaily,37
spreading,16
sat,344
near,205
silver,23
samovar,20
doing,140
pleasure,122
herself,328
around,172
displaying,9
addressing,70
present,124
wicked,9
trick,9
hostess,19
wrote,94
quite,374
badly,42
dressed,72
spread,60
arms,177
shortwaisted,1
lacetrimmed,1
dainty,2
gray,71
girdled,2
broad,40
below,46
soyez,1
tranquille,2
prettier,7
voice,423
general,484
husband,135
deserting,1
going,318
killed,127
wretched,17
waiting,116
delightful,22
next,192
arrivals,7
stout,47
heavily,28
built,21
closecropped,2
hair,153
spectacles,39
lightcolored,2
fashionable,8
ruffle,3
brown,7
coat,118
illegitimate,9
bezkhov,53
grandee,4
catherines,8
dying,60
moscow,707
military,115
civil,13
service,127
returned,145
abroad,33
where,614
educated,13
nod,4
accorded,1
lowest,9
hierarchy,2
spite,71
lowestgrade,1
look,475
anxiety,24
fear,110
unsuited,1
place,310
pierre,1784
enter,68
certainly,59
rather,88
bigger,4
other,581
reference,12
shy,16
observant,1
distinguished,32
monsieur,45
exchanging,13
alarmed,13
glance,69
murmured,11
unintelligible,6
search,21
acquaintance,38
alarm,31
justified,5
hear,141
speech,43
dismay,15
detained,9
yes,550
scheme,4
perpetual,4
hardly,88
feasible,2
rejoined,12
attend,14
duties,28
committed,17
reverse,5
act,62
impoliteness,1
finished,81
speaking,155
bent,62
big,57
feet,112
apart,52
explaining,23
reasons,34
thinking,118
abbs,1
plan,90
chimerical,1
later,132
got,202
rid,19
behave,16
resumed,14
watch,33
point,82
might,314
happen,81
flag,10
foreman,1
spinning,2
mill,2
hands,260
notices,5
spindle,1
stopped,193
creaks,1
makes,27
noise,31
should,520
hastens,2
machine,12
proper,25
motion,45
moved,212
approaching,59
toonoisy,1
group,69
slight,27
rearrangement,1
kept,149
conversational,1
steady,12
regular,29
amid,58
cares,17
evident,75
anxious,39
approached,70
passed,191
whose,111
center,46
attended,16
intellectual,24
lights,13
gathered,47
toyshop,1
afraid,145
missing,11
seeing,168
selfconfident,19
faces,156
seemed,579
stood,307
opportunity,33
express,62
views,32
fond,51
swing,4
spindles,2
hummed,3
steadily,7
ceaselessly,1
sides,135
beside,184
elderly,23
thin,99
careworn,3
brilliant,70
settled,66
into,1003
groups,24
chiefly,38
masculine,7
formed,68
grouped,3
